Fecha,Partido,Competición,Duración,Equipo,Seleccionar esquema,Goles,xG,Tiros totales,Tiros a portería,% tiros portería,Pases intentados,Pases logrados,% pases,"Posesión del balón, %",Balones perdidos totales,Balones perdidos inicio,Balones perdidos medio,Balones perdidos último tercio,Balones recuperados totales,Balones recuperados inicio,Balones recuperados medio,Balones recuperados último tercio,Duelos totales,Duelos ganados,% duelos ganados
2025-08-31,Arenas Club - Arenteiro 2:1,Spain. Primera Division RFEF,106.0,Arenas Club,4-1-4-1 (55.92%),2.0,1.47,20.0,6.0,30.0,313.0,244.0,77.96,50.24,107.0,16.0,37.0,54.0,89.0,47.0,27.0,15.0,197.0,90.0,45.69
2025-08-31,Arenas Club - Arenteiro 2:1,Spain. Primera Division RFEF,106.0,Arenteiro,4-4-2 (100.0%),1.0,0.76,6.0,2.0,33.33,370.0,292.0,78.92,49.76,133.0,28.0,51.0,54.0,76.0,27.0,35.0,14.0,197.0,96.0,48.73
2025-09-06,Arenas Club - Cacereño 2:2,Spain. Primera Division RFEF,104.0,Arenas Club,4-3-3 (100.0%),2.0,2.59,19.0,9.0,47.37,454.0,373.0,82.16,52.46,112.0,11.0,57.0,44.0,83.0,41.0,35.0,7.0,243.0,102.0,41.98
2025-09-06,Arenas Club - Cacereño 2:2,Spain. Primera Division RFEF,104.0,Cacereño,4-2-3-1 (100.0%),2.0,2.24,14.0,8.0,57.14,358.0,284.0,79.33,47.54,104.0,15.0,44.0,45.0,73.0,30.0,34.0,9.0,243.0,117.0,48.15
2025-09-12,Barakaldo - Arenas Club 2:1,Spain. Primera Division RFEF,96.0,Arenas Club,4-1-3-2 (100.0%),1.0,0.84,8.0,4.0,50.0,407.0,320.0,78.62,51.12,142.0,27.0,67.0,48.0,88.0,48.0,34.0,6.0,252.0,105.0,41.67
2025-09-12,Barakaldo - Arenas Club 2:1,Spain. Primera Division RFEF,96.0,Barakaldo,4-4-2 (100.0%),2.0,1.58,12.0,4.0,33.33,356.0,258.0,72.47,48.88,132.0,12.0,55.0,65.0,96.0,32.0,49.0,15.0,252.0,138.0,54.76
2025-09-21,Celta Fortuna - Arenas Club 2:0,Spain. Primera Division RFEF,100.0,Arenas Club,4-2-3-1 (100.0%),0.0,0.59,8.0,5.0,62.5,494.0,403.0,81.58,49.32,113.0,20.0,39.0,54.0,77.0,46.0,20.0,11.0,157.0,76.0,48.41
2025-09-21,Celta Fortuna - Arenas Club 2:0,Spain. Primera Division RFEF,100.0,Celta Fortuna,5-4-1 (100.0%),2.0,2.52,21.0,11.0,52.38,530.0,451.0,85.09,50.68,110.0,19.0,32.0,59.0,93.0,42.0,35.0,16.0,157.0,75.0,47.77
2025-09-27,Arenas Club - Unionistas de Salamanca 2:1,Spain. Primera Division RFEF,102.0,Arenas Club,4-5-1 (30.07%),2.0,1.94,9.0,6.0,66.67,195.0,125.0,64.1,26.8,118.0,19.0,46.0,53.0,68.0,33.0,27.0,8.0,178.0,95.0,53.37
2025-09-27,Arenas Club - Unionistas de Salamanca 2:1,Spain. Primera Division RFEF,102.0,Unionistas de Salamanca,4-4-2 (100.0%),1.0,1.27,14.0,4.0,28.57,559.0,473.0,84.62,73.2,121.0,16.0,46.0,59.0,80.0,33.0,36.0,11.0,178.0,80.0,44.94
2025-10-05,Mérida AD - Arenas Club 3:0,Spain. Primera Division RFEF,105.0,Arenas Club,4-2-3-1 (53.09%),0.0,0.93,6.0,4.0,66.67,336.0,272.0,80.95,43.97,103.0,23.0,38.0,42.0,60.0,28.0,25.0,7.0,169.0,68.0,40.24
2025-10-05,Mérida AD - Arenas Club 3:0,Spain. Primera Division RFEF,105.0,Mérida AD,4-4-2 (100.0%),3.0,1.6,18.0,7.0,38.89,450.0,383.0,85.11,56.03,95.0,9.0,39.0,47.0,71.0,28.0,33.0,10.0,169.0,95.0,56.21
