Equipo,xG_Victoria,GF_Victoria,GC_Victoria,Puntos_Victoria,"Posesión del balón, %_Victoria",Promedio pases por posesión del balón_Victoria,Longitud media pases_Victoria,Lanzamiento largo %_Victoria,Pases progresivos conseguidos_Victoria,Pases en el último tercio logrados_Victoria,Tiros totales_Victoria,Tiros a portería_Victoria,Ataques posicionales finalizados_Victoria,Contraataques finalizados_Victoria,Centros lanzados_Victoria,% centros rematados_Victoria,PPDA_Victoria,Tiros en contra_Victoria,Tiros en contra a portería_Victoria,Balones recuperados último tercio_Victoria,% duelos aéreos ganados_Victoria,% duelos defensivos ganados_Victoria,xG_Empate,GF_Empate,GC_Empate,Puntos_Empate,"Posesión del balón, %_Empate",Promedio pases por posesión del balón_Empate,Longitud media pases_Empate,Lanzamiento largo %_Empate,Pases progresivos conseguidos_Empate,Pases en el último tercio logrados_Empate,Tiros totales_Empate,Tiros a portería_Empate,Ataques posicionales finalizados_Empate,Contraataques finalizados_Empate,Centros lanzados_Empate,% centros rematados_Empate,PPDA_Empate,Tiros en contra_Empate,Tiros en contra a portería_Empate,Balones recuperados último tercio_Empate,% duelos aéreos ganados_Empate,% duelos defensivos ganados_Empate,xG_Derrota,GF_Derrota,GC_Derrota,Puntos_Derrota,"Posesión del balón, %_Derrota",Promedio pases por posesión del balón_Derrota,Longitud media pases_Derrota,Lanzamiento largo %_Derrota,Pases progresivos conseguidos_Derrota,Pases en el último tercio logrados_Derrota,Tiros totales_Derrota,Tiros a portería_Derrota,Ataques posicionales finalizados_Derrota,Contraataques finalizados_Derrota,Centros lanzados_Derrota,% centros rematados_Derrota,PPDA_Derrota,Tiros en contra_Derrota,Tiros en contra a portería_Derrota,Balones recuperados último tercio_Derrota,% duelos aéreos ganados_Derrota,% duelos defensivos ganados_Derrota,xG_Local,GF_Local,GC_Local,Puntos_Local,"Posesión del balón, %_Local",Promedio pases por posesión del balón_Local,Longitud media pases_Local,Lanzamiento largo %_Local,Pases progresivos conseguidos_Local,Pases en el último tercio logrados_Local,Tiros totales_Local,Tiros a portería_Local,Ataques posicionales finalizados_Local,Contraataques finalizados_Local,Centros lanzados_Local,% centros rematados_Local,PPDA_Local,Tiros en contra_Local,Tiros en contra a portería_Local,Balones recuperados último tercio_Local,% duelos aéreos ganados_Local,% duelos defensivos ganados_Local,xG_Visitante,GF_Visitante,GC_Visitante,Puntos_Visitante,"Posesión del balón, %_Visitante",Promedio pases por posesión del balón_Visitante,Longitud media pases_Visitante,Lanzamiento largo %_Visitante,Pases progresivos conseguidos_Visitante,Pases en el último tercio logrados_Visitante,Tiros totales_Visitante,Tiros a portería_Visitante,Ataques posicionales finalizados_Visitante,Contraataques finalizados_Visitante,Centros lanzados_Visitante,% centros rematados_Visitante,PPDA_Visitante,Tiros en contra_Visitante,Tiros en contra a portería_Visitante,Balones recuperados último tercio_Visitante,% duelos aéreos ganados_Visitante,% duelos defensivos ganados_Visitante
Arenas Club,1.47,2.14,0.86,3.0,45.44,3.14,21.85,16.1,48.29,28.57,11.93,5.0,7.29,1.14,15.79,29.64,11.67,12.14,4.64,10.43,46.71,64.15,1.08,1.14,1.14,1.0,47.6,3.58,21.21,12.98,45.71,29.71,9.86,4.29,6.71,0.14,16.43,24.66,10.87,13.86,5.57,10.14,47.39,60.11,1.1,0.31,2.19,0.0,51.29,3.75,20.49,12.26,49.56,34.5,10.0,2.62,6.5,0.25,16.69,23.75,10.02,11.94,5.69,9.88,44.86,60.81,1.42,1.56,1.28,2.0,49.74,3.56,21.77,14.87,48.89,31.33,11.78,4.56,7.28,0.83,17.5,28.85,10.8,11.72,4.89,10.67,47.64,63.14,1.06,0.79,1.68,0.68,47.08,3.42,20.55,12.89,47.84,31.37,9.68,3.16,6.42,0.32,15.16,23.59,10.81,13.0,5.63,9.63,44.51,60.81
Arenteiro,1.23,2.5,0.67,3.0,49.83,2.81,22.21,20.36,43.33,26.17,9.33,5.67,5.83,0.5,15.33,41.48,8.84,11.67,3.33,12.0,51.01,61.5,1.17,0.7,0.7,1.0,46.49,3.16,22.2,17.56,44.9,25.4,10.4,3.4,7.2,0.3,16.1,39.62,11.98,13.9,4.4,11.8,43.77,62.1,0.74,0.32,1.91,0.0,52.99,3.74,21.2,14.45,49.09,33.23,7.73,2.14,5.09,0.18,17.27,26.59,9.94,12.27,5.27,11.09,40.48,60.41,1.05,0.84,1.26,1.0,51.66,3.03,22.7,19.37,48.37,29.53,9.63,3.47,6.42,0.21,18.0,33.53,9.97,12.32,4.42,13.0,43.47,61.62,0.81,0.68,1.53,0.47,49.9,3.86,20.55,13.04,45.79,30.58,7.74,2.58,5.11,0.32,15.32,31.2,10.63,12.89,5.05,9.84,42.55,60.43
Athletic Bilbao,1.46,1.67,0.5,3.0,49.1,3.55,21.02,12.9,49.92,36.25,11.17,5.08,7.17,0.67,13.25,26.11,11.36,11.67,3.42,10.67,43.14,59.58,1.77,0.7,0.7,1.0,50.72,3.67,20.53,13.36,54.7,41.0,15.2,5.5,9.5,0.4,18.1,32.58,9.28,9.8,4.1,13.3,50.68,61.69,1.39,0.67,2.2,0.0,53.94,4.06,19.15,10.88,57.27,42.87,13.13,3.6,8.6,0.4,16.53,31.19,9.48,10.6,4.67,12.8,46.49,61.21,1.44,1.0,0.89,1.5,52.88,3.95,20.16,10.55,57.39,41.28,13.67,5.0,9.0,0.56,15.83,28.55,10.26,10.72,3.83,12.94,46.84,58.76,1.59,1.0,1.58,1.0,50.19,3.64,20.1,13.77,51.16,39.21,12.47,4.21,7.79,0.42,15.95,31.22,9.82,10.74,4.37,11.58,46.25,62.75
Barakaldo,1.87,2.33,0.53,3.0,51.62,3.18,21.72,17.33,51.73,31.6,14.47,5.87,9.73,0.13,21.0,32.6,7.65,8.53,2.53,14.27,47.54,66.02,1.1,1.0,1.0,1.0,51.83,3.19,22.23,18.48,55.15,35.0,12.69,3.62,7.62,0.38,23.38,34.69,8.28,10.77,2.85,14.23,50.97,62.64,1.22,0.3,1.7,0.0,56.72,3.42,21.21,16.14,54.7,38.0,11.3,2.8,6.7,0.1,22.7,32.7,7.32,9.2,3.8,14.6,45.56,63.65,1.77,1.63,0.68,2.16,56.02,3.42,21.87,16.76,56.32,37.32,15.79,5.58,9.89,0.26,24.89,34.79,7.14,7.37,2.26,15.58,49.03,66.39,1.1,1.05,1.32,0.89,50.05,3.07,21.65,18.06,51.05,31.58,10.26,3.0,6.53,0.16,19.63,31.89,8.42,11.58,3.68,13.11,47.36,62.1
Cacereño,1.29,2.1,0.4,3.0,39.74,2.45,21.9,19.42,41.8,25.0,10.6,3.6,5.9,0.6,15.4,33.74,9.51,11.5,3.1,11.7,43.58,59.42,0.85,1.07,1.07,1.0,43.12,2.67,21.84,19.77,42.14,25.5,8.21,3.29,4.71,0.43,14.0,35.51,9.45,11.21,4.36,11.43,40.86,62.66,1.0,0.43,2.14,0.0,45.31,3.38,20.7,15.47,48.57,32.07,9.57,3.57,6.14,0.21,20.29,27.85,10.78,12.29,5.21,11.93,42.44,63.67,1.08,1.0,1.26,1.11,45.18,2.97,21.62,18.1,45.79,29.42,10.05,3.26,6.26,0.42,19.68,30.74,9.68,10.79,4.11,12.79,41.34,64.09,0.96,1.21,1.32,1.21,40.9,2.78,21.26,18.08,43.05,26.16,8.63,3.68,4.84,0.37,13.68,33.7,10.23,12.58,4.58,10.58,42.98,60.27
Celta Fortuna,1.63,2.71,0.94,3.0,55.94,4.65,19.65,8.73,48.29,39.76,13.71,6.41,8.82,0.47,10.82,24.29,10.74,12.41,4.35,10.12,40.31,61.1,1.05,0.92,0.92,1.0,57.18,4.25,19.73,10.46,42.83,31.25,10.17,3.17,6.0,0.25,10.67,26.49,9.52,12.92,4.58,6.92,39.32,53.55,1.21,0.38,2.5,0.0,58.48,5.02,18.95,7.85,51.88,42.5,11.62,3.5,6.5,0.12,11.5,30.34,9.6,10.88,5.25,9.5,49.72,61.92,1.54,1.72,1.06,1.89,57.25,4.65,19.83,8.96,48.78,38.44,13.11,5.33,7.89,0.22,10.72,24.28,10.22,11.78,4.0,9.44,39.95,59.73,1.18,1.53,1.47,1.53,56.55,4.56,19.23,9.23,45.89,36.79,11.16,4.16,6.95,0.42,11.11,28.24,9.98,12.68,5.21,8.47,43.99,57.98
Guadalajara,1.55,2.0,0.22,3.0,47.46,3.35,20.6,14.48,42.78,26.78,11.11,5.89,6.11,1.11,12.11,28.22,11.12,11.67,2.89,12.0,43.41,64.07,1.04,1.0,1.0,1.0,49.39,3.7,19.58,12.2,48.55,31.45,9.27,3.27,5.55,0.82,12.73,23.33,12.35,10.45,3.73,10.27,41.41,62.64,1.2,0.88,2.62,0.0,49.71,3.47,20.0,13.12,48.25,31.62,9.88,3.56,5.88,0.38,14.0,32.16,9.71,13.12,6.25,11.62,38.92,63.94,1.36,1.32,1.32,1.37,51.26,3.66,20.32,12.54,50.53,34.16,11.05,4.63,6.53,0.63,15.58,26.73,10.6,10.89,4.11,12.32,42.63,63.62,1.1,1.06,1.76,0.71,46.58,3.35,19.69,13.9,43.0,26.12,8.82,3.41,5.06,0.76,10.41,30.42,11.17,13.12,5.24,10.18,38.76,63.52
Lugo,1.3,1.62,0.31,3.0,52.83,4.2,20.67,12.07,50.15,31.23,11.23,3.77,7.54,0.31,14.15,33.42,10.51,8.85,3.31,9.62,45.03,61.09,1.23,0.71,0.71,1.0,57.59,4.13,20.64,11.81,46.64,28.0,11.5,3.86,6.57,0.21,17.21,33.0,8.83,8.93,2.71,11.21,45.56,64.21,1.21,0.45,2.36,0.0,58.4,4.45,19.97,10.76,49.73,35.82,11.91,3.45,6.64,0.0,16.27,40.09,8.96,11.64,5.09,11.09,55.58,62.74,1.46,1.0,1.05,1.58,57.7,4.68,20.44,9.63,53.58,36.53,12.89,3.95,7.89,0.32,19.21,35.0,9.35,8.42,3.26,11.84,47.42,61.86,1.03,0.89,1.05,1.21,54.69,3.81,20.47,13.56,43.89,26.21,10.16,3.47,5.95,0.05,12.58,35.39,9.53,10.95,3.95,9.42,49.14,63.57
Mérida AD,1.69,2.0,0.47,3.0,44.02,3.04,19.58,13.79,45.0,28.27,13.07,5.0,7.93,0.6,14.93,35.19,8.7,10.4,2.6,13.87,45.8,61.69,1.36,0.9,0.9,1.0,44.81,3.19,19.15,12.64,43.4,27.2,12.1,3.9,7.6,0.3,12.8,38.08,8.65,10.7,3.3,13.7,44.56,57.65,1.46,0.64,2.64,0.0,50.87,3.49,19.17,11.97,55.36,36.71,12.86,3.86,7.64,0.07,19.21,32.82,7.95,11.29,5.14,13.36,42.07,62.59,1.71,1.53,1.11,1.84,49.08,3.51,19.33,11.21,51.05,31.21,13.26,4.89,8.16,0.37,17.26,34.5,8.26,9.11,3.32,13.74,45.6,63.24,1.35,0.95,1.6,1.0,44.39,2.99,19.32,14.39,45.7,30.85,12.25,3.75,7.35,0.3,14.65,35.63,8.57,12.4,4.05,13.55,42.75,58.83
Osasuna Promesas,1.15,1.6,0.5,3.0,41.57,2.91,20.9,15.82,43.8,27.2,8.9,3.6,6.1,0.7,10.6,38.9,8.93,11.1,3.0,10.3,44.0,56.35,1.16,0.7,0.7,1.0,43.02,2.9,20.7,16.07,44.2,30.7,10.3,4.1,6.3,0.5,10.9,34.76,9.71,15.1,5.1,10.9,46.74,60.28,0.97,0.28,1.67,0.0,48.66,3.17,20.6,14.94,49.39,34.56,9.78,2.78,6.33,0.11,14.44,33.76,9.04,12.0,4.83,12.67,41.08,62.36,0.99,1.0,1.26,1.11,46.39,3.1,20.94,14.74,48.47,34.95,10.11,3.16,6.63,0.32,12.63,35.81,8.99,10.58,3.74,11.11,44.58,60.71,1.15,0.47,0.95,1.0,44.23,2.96,20.48,16.2,44.63,28.26,9.26,3.53,5.89,0.42,12.37,34.93,9.38,14.58,5.11,12.05,42.09,59.74
