Equipo,Duración,Goles,xG,Tiros totales,Tiros a portería,% tiros portería,Pases intentados,Pases logrados,% pases,"Posesión del balón, %",Balones perdidos totales,Balones perdidos inicio,Balones perdidos medio,Balones perdidos último tercio,Balones recuperados totales,Balones recuperados inicio,Balones recuperados medio,Balones recuperados último tercio,Duelos totales,Duelos ganados,% duelos ganados,Ataques posicionales totales,Ataques posicionales finalizados,% ataques posicionales finalizados,Contraataques,Contraataques finalizados,% contraataques finalizados,Córners,Córners rematados,% córners rematados,Tiros libres,Tiros libres rematados,% tiros libres rematados,Penaltis,Penaltis marcados,% penaltis,Centros lanzados,Centros rematados,% centros rematados,Duelos ofensivos,Duelos ofensivos ganados,% duelos ofensivos,Fuera de juego,Goles recibidos,Tiros en contra,Tiros en contra a portería,% tiros en contra a portería,Duelos defensivos totales,Duelos defensivos ganados,% duelos defensivos ganados,Duelos aéreos totales,Duelos aéreos ganados,% duelos aéreos ganados,Entradas a ras de suelo totales,Entradas a ras de suelo exitosas,% entradas a ras de suelo exitosas,Interceptaciones,Despejes,Faltas,Tarjetas amarillas,Tarjetas rojas,Pases totales,% pases logrados,Pases hacia adelante intentados,Pases hacia adelante logrados,% pases hacia adelante logrados,Pases hacia atrás intentados,Pases hacia atrás logrados,% pases hacia atrás logrados,Pases laterales intentados,Pases laterales logrados,% pases laterales logrados,Pases largos intentados,Pases largos logrados,% pases largos,Pases en el último tercio intentados,Pases en el último tercio logrados,% pases en el último tercio,Pases progresivos intentados,Pases progresivos conseguidos,% pases progresivos,Saques laterales logrados,% saques laterales,Saques de meta intentados,Saques de meta logrados,Intensidad de paso,Promedio pases por posesión del balón,Lanzamiento largo %,PPDA,Distancia media de tiro,Longitud media pases,Saques laterales intentados,Saques de meta,Unnamed: 31,Saques de meta.1,Unnamed: 32,Puntos,Diferencia_Goles,GF,GC
Arenas Club,100.76,1.16,1.24,10.7,3.84,37.79,384.19,300.81,77.53,48.38,121.86,23.05,48.3,50.51,86.08,42.38,33.57,10.14,210.81,100.95,47.77,26.46,6.84,25.38,0.76,0.57,32.66,4.78,1.57,31.12,1.57,0.22,11.26,0.14,0.08,8.11,16.3,4.38,26.15,71.16,25.97,37.08,1.78,1.49,12.38,5.27,42.48,73.95,45.95,61.94,36.89,17.27,46.04,1.73,0.92,42.61,37.92,16.49,14.68,2.81,0.22,384.19,77.53,139.62,94.57,67.38,52.89,48.84,91.62,144.0,122.46,84.31,51.08,25.92,50.86,50.7,31.35,61.07,73.19,48.35,65.86,23.0,19.76,86.27,8.7,15.95,3.49,13.85,10.8,18.8,21.14,,,,,,1.32,-0.32,1.16,1.49
Arenteiro,101.61,0.76,0.93,8.68,3.03,34.38,367.05,284.05,76.51,50.78,120.42,23.16,43.16,54.11,80.32,37.58,31.32,11.42,195.71,90.47,46.3,26.74,5.76,21.78,0.39,0.26,19.74,3.97,0.82,21.46,2.92,0.68,20.09,0.11,0.05,5.26,16.66,5.11,32.37,58.5,21.13,36.43,2.68,1.39,12.61,4.74,39.51,65.13,39.58,61.02,39.92,17.08,43.01,2.53,1.34,48.5,36.61,18.29,12.08,2.32,0.18,367.05,76.51,139.11,91.61,65.95,56.92,52.58,91.99,123.42,104.87,83.23,57.13,27.24,48.5,52.45,30.05,57.84,71.0,47.08,66.46,21.03,82.91,91.78,8.5,15.43,3.44,16.2,10.3,18.96,21.62,23.78,9.31,,,,0.74,-0.63,0.76,1.39
Athletic Bilbao,100.54,1.0,1.51,13.05,4.59,37.03,405.76,325.24,79.43,51.5,119.57,22.24,44.38,52.95,90.59,40.19,38.16,12.24,200.84,95.27,47.4,29.7,8.38,28.26,0.84,0.49,24.32,5.3,1.49,23.89,2.57,0.68,26.24,0.11,0.08,8.11,15.89,5.11,29.92,71.11,26.76,37.65,2.05,1.24,10.73,4.11,39.23,59.19,36.05,60.81,36.7,17.35,46.54,2.62,1.24,44.38,39.3,16.54,11.92,1.92,0.05,405.76,79.43,148.16,104.95,70.67,58.38,53.73,91.62,141.46,122.7,85.79,46.81,23.92,51.05,57.86,40.22,69.04,76.41,54.19,70.74,18.14,83.82,84.84,6.5,15.77,3.79,12.21,10.04,18.68,20.13,20.11,7.54,,,,1.24,-0.24,1.0,1.24
Barakaldo,100.92,1.34,1.44,13.03,4.29,31.78,352.0,267.82,75.59,53.04,123.0,17.89,44.5,60.61,89.89,34.16,41.39,14.34,220.76,110.74,50.27,32.63,8.21,25.43,0.47,0.21,14.47,5.79,1.84,30.19,2.84,0.61,24.3,0.18,0.11,10.53,22.26,7.45,33.34,69.05,28.29,40.83,1.24,1.0,9.47,2.97,35.13,72.21,46.47,64.24,44.79,21.42,48.19,3.18,1.71,49.06,37.82,17.5,13.13,2.29,0.11,352.0,75.59,136.5,90.68,66.27,49.82,46.5,93.15,120.08,98.34,80.9,59.97,32.18,53.86,56.42,34.45,60.28,72.66,53.68,73.66,19.74,83.95,82.15,4.5,14.43,3.24,17.41,7.78,18.18,21.76,22.22,7.33,,,,1.53,0.34,1.34,1.0
Cacereño,100.76,1.11,1.02,9.34,3.47,38.79,305.05,228.95,74.17,43.04,115.87,21.13,41.82,52.92,83.45,39.0,32.76,11.68,213.42,101.82,47.71,24.76,5.55,21.82,0.76,0.39,30.92,4.08,1.24,31.6,2.45,0.79,26.71,0.13,0.11,10.53,16.68,4.92,32.22,62.42,24.29,38.92,1.84,1.29,11.68,4.34,37.38,73.92,46.08,62.18,44.84,18.68,42.16,2.84,1.53,51.05,41.58,19.53,12.68,2.13,0.13,305.05,74.17,126.47,81.84,64.23,49.45,45.37,91.65,86.45,69.63,79.28,53.16,26.82,50.56,45.92,27.79,59.74,65.92,44.42,66.99,20.05,84.08,88.46,12.0,15.32,2.87,18.09,9.96,19.03,21.44,22.61,8.5,,,,1.16,-0.18,1.11,1.29
Celta Fortuna,101.65,1.62,1.35,12.11,4.73,38.56,453.38,384.89,84.23,56.89,105.41,23.11,40.62,41.68,74.22,37.03,28.24,8.95,177.16,83.16,47.04,25.08,7.41,29.63,0.68,0.32,18.92,3.86,1.16,31.99,1.89,0.41,15.77,0.14,0.11,10.81,10.92,3.03,26.31,68.89,28.51,41.53,1.27,1.27,12.24,4.62,38.09,54.81,32.11,58.83,25.76,10.51,42.03,1.92,1.03,41.4,33.14,14.57,12.49,2.54,0.24,453.38,84.23,142.0,103.16,71.94,66.81,63.68,95.1,183.38,168.22,91.3,39.49,19.81,49.65,51.43,37.59,71.62,70.92,47.3,66.03,15.22,79.58,84.62,5.0,16.29,4.6,9.1,10.1,19.56,19.52,18.49,7.83,,,,1.7,0.35,1.62,1.27
Guadalajara,102.33,1.19,1.24,10.0,4.06,40.96,375.03,298.17,78.67,49.05,118.81,20.89,48.11,49.81,82.33,38.39,32.64,11.31,203.22,96.53,47.57,26.31,5.83,22.61,1.31,0.69,40.72,4.72,1.31,27.18,2.47,0.47,16.1,0.19,0.19,16.67,13.14,3.75,28.47,69.08,25.97,37.76,1.58,1.53,11.94,4.64,38.99,69.89,44.31,63.57,35.08,14.5,40.81,2.36,1.33,51.9,36.92,15.36,11.75,2.58,0.14,375.03,78.67,143.56,100.31,68.96,57.19,52.81,92.27,118.06,101.31,85.06,47.17,23.31,49.51,47.89,30.36,61.82,69.61,46.97,66.45,20.28,87.86,100.0,6.0,15.55,3.51,13.18,10.87,18.66,20.02,22.54,9.31,,,,1.06,-0.33,1.19,1.53
Lugo,101.03,0.95,1.25,11.53,3.71,32.44,425.16,350.71,82.05,56.19,106.37,21.58,38.87,45.92,77.11,36.58,29.89,10.63,187.39,92.24,49.32,24.42,6.92,28.1,0.39,0.18,18.42,4.45,1.37,28.42,2.76,0.55,15.8,0.16,0.13,13.16,15.89,5.47,35.2,64.74,25.63,39.46,1.58,1.05,9.68,3.61,39.79,63.11,39.55,62.72,29.26,14.13,48.28,2.08,0.89,35.04,33.87,14.66,12.87,3.21,0.16,425.16,82.05,144.66,103.55,71.26,66.58,62.11,93.03,161.42,144.08,88.85,47.71,24.89,52.71,48.76,31.37,63.62,71.11,48.74,68.36,17.61,85.3,85.8,6.5,15.82,4.25,11.6,9.44,18.99,20.46,19.5,7.94,,,,1.39,-0.11,0.95,1.05
Mérida AD,103.36,1.23,1.52,12.74,4.31,33.7,334.23,259.41,76.42,46.68,113.64,19.31,38.33,56.0,83.0,34.92,34.44,13.64,204.59,96.72,47.4,28.56,7.74,27.02,0.54,0.33,21.79,4.28,1.51,36.83,3.67,0.79,19.57,0.15,0.03,2.56,15.92,5.62,35.08,57.41,21.95,38.44,2.03,1.36,10.79,3.69,34.08,67.51,41.21,60.98,46.38,20.36,44.14,2.82,1.51,47.82,36.87,17.85,15.18,2.97,0.21,334.23,76.42,138.64,96.95,69.03,48.18,44.03,91.05,94.67,79.21,82.13,40.51,20.28,50.63,48.79,31.03,62.6,67.59,48.31,70.81,7.51,38.26,71.07,6.5,16.29,3.24,12.84,8.42,17.52,19.32,8.92,17.22,18.13,8.04,81.53,1.41,-0.13,1.23,1.36
Osasuna Promesas,100.18,0.74,1.07,9.68,3.34,35.61,319.58,244.97,75.88,45.31,119.89,22.37,42.82,54.71,84.0,37.42,35.0,11.58,214.74,99.0,46.19,27.45,6.26,23.18,0.66,0.37,25.88,3.61,0.89,20.77,2.84,0.47,15.47,0.11,0.05,5.26,12.5,4.45,35.37,65.63,22.79,34.81,1.84,1.11,12.58,4.42,36.39,73.84,44.58,60.23,40.55,17.37,43.33,3.42,1.66,47.75,40.58,19.68,15.18,2.68,0.08,319.58,75.88,128.61,84.97,65.69,44.18,40.47,91.44,99.55,83.76,82.84,47.76,25.05,52.42,52.0,31.61,60.45,65.29,46.55,71.16,19.53,79.18,85.01,6.5,15.08,3.03,15.47,9.19,19.89,20.71,22.58,10.25,24.5,13.0,84.4,1.05,-0.37,0.74,1.11
