Equipo,Dominio,Verticalidad,Presion,Solidez,Agresividad,Efectividad,Eficiencia
Arenas Club,54.4,72.5,33.8,22.2,59.9,57.0,45.5
Arenteiro,35.2,37.2,36.0,23.2,21.2,23.8,29.8
Athletic Bilbao,85.8,76.8,47.2,49.1,87.8,39.2,24.0
Barakaldo,77.0,38.8,91.2,81.2,80.8,37.2,52.8
Cacereño,11.0,54.0,66.8,50.1,27.5,52.0,61.2
Celta Fortuna,81.4,57.6,15.5,28.2,65.2,65.0,84.5
Guadalajara,41.8,70.8,43.5,33.5,47.9,61.5,42.8
Lugo,71.2,41.0,37.5,57.0,56.2,28.8,37.8
Mérida AD,57.9,62.1,67.8,45.0,70.0,45.8,43.5
Osasuna Promesas,29.9,49.0,63.5,48.1,31.1,33.0,19.8
Ourense CF,44.0,62.8,25.5,40.6,39.0,60.0,47.2
Ponferradina,27.2,32.5,64.2,66.8,28.2,34.8,64.8
Pontevedra,35.0,42.5,57.5,82.5,34.6,58.8,72.5
Racing Ferrol,60.0,49.0,21.8,37.2,52.6,43.8,36.0
Real Avilés,24.2,41.0,52.0,30.0,42.4,81.5,60.5
Real Madrid Castilla,91.9,47.2,54.8,38.2,70.9,61.5,78.0
Talavera CF,38.8,49.8,71.5,61.0,56.8,32.2,27.0
Tenerife,86.5,76.5,71.8,70.8,80.2,82.5,75.0
Unionistas de Salamanca,43.5,24.8,50.5,38.9,42.9,71.5,65.0
Zamora,53.4,49.2,47.8,76.1,54.8,80.2,72.5
